"lon","lat","company","location","industry"
-94.1288,36.1867,"Tyson Foods","Springdale, AR","Food Production"
-121.875,37.6624,"Safeway","Pleasanton, CA","Food and Drug Stores"
-82.9988,39.9612,"Nationwide","Columbus, OH","Insurance: Property and Casualty (Mutual)"
-90.5151,41.5067,"Deere","Moline, IL","Construction and Farm Machinery"
-75.5398,39.7391,"DuPont","Wilmington, DE","Chemicals"
-74.0059,40.7128,"American Express","New York, NY","Commercial Banks"
-87.829,42.1275,"Allstate","Northbrook, IL","Insurance: Property and Casualty (Stock)"
-72.7301,41.8265,"Cigna","Bloomfield, CT","Health Care: Insurance and Managed Care"
-87.8445,42.1711,"Mondelez International","Deerfield, IL","Food Consumer Products"
-74.0059,40.7128,"TIAA-CREF","New York, NY","Insurance: Life, Health (Mutual)"
-74.0059,40.7128,"INTL FCStone","New York, NY","Diversified Financials"
-72.5898,42.1015,"Massachusetts Mutual Life Insurance","Springfield, MA","Insurance: Life, Health (Mutual)"
-118.416,33.9192,"DirecTV","El Segundo, CA","Telecommunications"
-95.3698,29.7604,"Halliburton","Houston, TX","Oil and Gas Equipment, Services"
-74.0059,40.7128,"Twenty-First Century Fox","New York, NY","Entertainment"
-93.09,44.9537,"3M","St. Paul, MN","zMiscellaneous"
-88.1227,42.063,"Sears Holdings","Hoffman Estates, IL","General Merchandisers"
-77.1711,38.8823,"General Dynamics","Falls Church, VA","Aerospace and Defense"
-81.9498,28.0395,"Publix Super Markets","Lakeland, FL","Food and Drug Stores"
-74.0059,40.7128,"Philip Morris International","New York, NY","Tobacco"
-71.4162,42.2793,"TJX","Framingham, MA","Specialty Retailers: Apparel"
-74.0059,40.7128,"Time Warner","New York, NY","Entertainment"
-84.512,39.1031,"Macy's","Cincinnati, OH","General Merchandisers"
-122.804,45.4871,"Nike","Beaverton, OR","Apparel"
-82.8001,27.9659,"Tech Data","Clearwater, FL","Wholesalers: Electronics and Office Equipment"
-112.074,33.4484,"Avnet","Phoenix, AZ","Wholesalers: Electronics and Office Equipment"
-87.9065,43.0389,"Northwestern Mutual","Milwaukee, WI","Insurance: Life, Health (Mutual)"
-87.9536,41.8398,"McDonald's","Oak Brook, IL","Food Services"
-87.6298,41.8781,"Exelon","Chicago, IL","Utilities: Gas and Electric"
-74.0059,40.7128,"Travelers Cos.","New York, NY","Insurance: Property and Casualty (Stock)"
-117.161,32.7157,"Qualcomm","San Diego, CA","Network and Other Communications Equipment"
-90.049,35.1495,"International Paper","Memphis, TN","Packaging, Containers"
-95.3698,29.7604,"Occidental Petroleum","Houston, TX","Mining, Crude-Oil Production"
-80.8431,35.2271,"Duke Energy","Charlotte, NC","Utilities: Gas and Electric"
-76.92,40.2398,"Rite Aid","Camp Hill, PA","Food and Drug Stores"
-122.271,37.5585,"Gilead Sciences","Foster City, CA","Pharmaceuticals"
-95.3698,29.7604,"Baker Hughes","Houston, TX","Oil and Gas Equipment, Services"
-90.1994,38.627,"Emerson Electric","St. Louis, MO","Electronics, Electrical Equip."
-71.5226,42.2287,"EMC","Hopkinton, MA","Computer Peripherals"
-98.4936,29.4241,"USAA","San Antonio, TX","Insurance: Property and Casualty (Stock)"
-95.998,41.2524,"Union Pacific","Omaha, NE","Railroads"
-77.1711,38.8823,"Northrop Grumman","Falls Church, VA","Aerospace and Defense"
-74.0059,40.7128,"Alcoa","New York, NY","Metals"
-77.1773,38.9339,"Capital One Financial","McLean, VA","Commercial Banks"
-95.3698,29.7604,"National Oilwell Varco","Houston, TX","Oil and Gas Equipment, Services"
-87.8722,41.9868,"US Foods","Rosemont, IL","Wholesalers: Food and Grocery"
-71.2356,42.3765,"Raytheon","Waltham, MA","Aerospace and Defense"
-74.0059,40.7128,"Time Warner Cable","New York, NY","Telecommunications"
-104.877,39.5807,"Arrow Electronics","Centennial, CO","Wholesalers: Electronics and Office Equipment"
-84.9877,32.461,"Aflac","Columbus, GA","Insurance: Life, Health (stock)"
-71.4162,42.2793,"Staples","Framingham, MA","Specialty Retailers: Other"
-87.8961,42.3045,"Abbott Laboratories","Abbott Park, IL","Medical Products and Equipment"
-86.8689,35.9251,"Community Health Systems","Franklin, TN","Health Care: Medical Facilities"
-96.9489,32.814,"Fluor","Irving, TX","Engineering, Construction"
-112.074,33.4484,"Freeport-McMoRan","Phoenix, AZ","Mining, Crude-Oil Production"
-93.265,44.9778,"U.S. Bancorp","Minneapolis, MN","Commercial Banks"
-80.8431,35.2271,"Nucor","Charlotte, NC","Metals"
-96.9489,32.814,"Kimberly-Clark","Irving, TX","Household and Personal Products"
-74.0059,40.7128,"Hess","New York, NY","Petroleum Refining"
-97.5164,35.4676,"Chesapeake Energy","Oklahoma City, OK","Mining, Crude-Oil Production"
-73.4082,41.1177,"Xerox","Norwalk, CT","Information Technology Services"
-87.9065,43.0389,"ManpowerGroup","Milwaukee, WI","Temporary Help"
-118.838,34.1706,"Amgen","Thousand Oaks, CA","Pharmaceuticals"
-87.8412,42.3256,"AbbVie","North Chicago, IL","Pharmaceuticals"
-77.0369,38.9072,"Danaher","Washington, DC","Scientific,Photographic and Control Equipment"
-86.4542,42.1167,"Whirlpool","Benton Harbor, MI","Electronics, Electrical Equip."
-74.4174,40.8653,"PBF Energy","Parsippany, NJ","Petroleum Refining"
-96.797,32.7767,"HollyFrontier","Dallas, TX","Petroleum Refining"
-86.1581,39.7684,"Eli Lilly","Indianapolis, IN","Pharmaceuticals"
-97.5164,35.4676,"Devon Energy","Oklahoma City, OK","Mining, Crude-Oil Production"
-81.4393,41.552,"Progressive","Mayfield Village, OH","Insurance: Property and Casualty (Stock)"
-85.9214,39.2014,"Cummins","Columbus, IN","Construction and Farm Machinery"
-74.0059,40.7128,"Icahn Enterprises","New York, NY","Petroleum Refining"
-80.1373,26.1224,"AutoNation","Fort Lauderdale, FL","Automotive Retailing, Services"
-88.1173,43.1789,"Kohl's","Menomonee Falls, WI","General Merchandisers"
-122.201,47.6104,"Paccar","Bellevue, WA","Motor Vehicles and Parts"
-86.7133,36.3231,"Dollar General","Goodlettsville, TN","General Merchandisers"
-72.6851,41.7637,"Hartford Financial Services Group","Hartford, CT","Insurance: Property and Casualty (Stock)"
-96.797,32.7767,"Southwest Airlines","Dallas, TX","Airlines"
-95.4613,30.1658,"Anadarko Petroleum","The Woodlands, TX","Mining, Crude-Oil Production"
-84.388,33.749,"Southern","Atlanta, GA","Utilities: Gas and Electric"
-93.4708,44.8547,"Supervalu","Eden Prairie, MN","Food and Drug Stores"
-87.7809,42.0998,"Kraft Foods Group","Northfield, IL","Food Consumer Products"
-81.519,41.0814,"Goodyear Tire & Rubber","Akron, OH","Motor Vehicles and Parts"
-95.3698,29.7604,"EOG Resources","Houston, TX","Mining, Crude-Oil Production"
-92.1193,32.5093,"CenturyLink","Monroe, LA","Telecommunications"
-77.436,37.5407,"Altria Group","Richmond, VA","Tobacco"
-96.797,32.7767,"Tenet Healthcare","Dallas, TX","Health Care: Medical Facilities"
-93.265,44.9778,"General Mills","Minneapolis, MN","Food Consumer Products"
-121.886,37.3382,"eBay","San Jose, CA","Internet Services and Retailing"
-95.998,41.2524,"ConAgra Foods","Omaha, NE","Food Consumer Products"
-83.2219,42.4734,"Lear","Southfield, MI","Motor Vehicles and Parts"
-83.3527,42.3684,"TRW Automotive Holdings","Livonia, MI","Motor Vehicles and Parts"
-79.9959,40.4406,"United States Steel","Pittsburgh, PA","Metals"
-83.2455,42.5836,"Penske Automotive Group","Bloomfield Hills, MI","Automotive Retailing, Services"
